Source,Target,Weight,Type
510,2433,4.0,Directed
510,2571,5.0,Directed
510,3462,2.0,Directed
513,58,3.0,Directed
517,3240,3.0,Directed
518,870,12.0,Directed
518,1419,8.0,Directed
519,2571,9.0,Directed
519,2586,4.0,Directed
523,1819,6.0,Directed
525,29,3.0,Directed
528,1419,8.0,Directed
528,2571,11.0,Directed
529,870,12.0,Directed
530,1958,6.0,Directed
532,1193,3.0,Directed
532,2571,16.0,Directed
532,2586,6.0,Directed
533,2388,3.0,Directed
534,2103,3.0,Directed
538,1502,2.0,Directed
543,2682,3.0,Directed
544,1958,3.0,Directed
544,3452,2.0,Directed
545,870,12.0,Directed
546,2865,2.0,Directed
547,3582,3.0,Directed
548,3050,6.0,Directed
549,2482,6.0,Directed
550,1086,12.0,Directed
552,2571,9.0,Directed
554,976,3.0,Directed
555,2105,3.0,Directed
557,1643,3.0,Directed
558,1419,4.0,Directed
558,3103,3.0,Directed
559,870,8.0,Directed
559,2571,3.0,Directed
559,3091,7.0,Directed
560,2586,3.0,Directed
561,1958,3.0,Directed
563,1419,13.0,Directed
563,2571,3.0,Directed
564,3081,6.0,Directed
565,3122,4.0,Directed
565,3455,3.0,Directed
566,2586,13.0,Directed
568,59,84.0,Directed
568,117,9.0,Directed
568,389,2.0,Directed
568,688,3.0,Directed
568,747,2.0,Directed
568,870,96.0,Directed
568,918,3.0,Directed
568,2571,14.0,Directed
568,2999,3.0,Directed
568,3587,2.0,Directed
569,28,3.0,Directed
570,1419,16.0,Directed
570,2571,3.0,Directed
571,4,3.0,Directed
572,3046,3.0,Directed
573,631,3.0,Directed
574,429,3.0,Directed
574,2059,2.0,Directed
579,1419,13.0,Directed
581,1419,27.0,Directed
582,1193,3.0,Directed
582,2571,25.0,Directed
582,3265,2.0,Directed
583,587,3.0,Directed
584,2256,4.0,Directed
589,59,2.0,Directed
589,1193,3.0,Directed
589,2433,11.0,Directed
589,2571,6.0,Directed
589,2586,21.0,Directed
589,3091,23.0,Directed
590,965,3.0,Directed
590,3410,3.0,Directed
591,2848,9.0,Directed
593,44,6.0,Directed
594,1689,3.0,Directed
595,2969,3.0,Directed
595,3392,6.0,Directed
597,1422,6.0,Directed
600,2187,3.0,Directed
601,510,9.0,Directed
601,870,7.0,Directed
601,1419,11.0,Directed
601,3327,6.0,Directed
602,1419,24.0,Directed
603,122,3.0,Directed
605,1573,3.0,Directed
605,3103,3.0,Directed
605,3527,3.0,Directed
606,139,3.0,Directed
606,346,4.0,Directed
606,2669,4.0,Directed
608,2761,9.0,Directed
610,177,2.0,Directed
610,748,8.0,Directed
610,2571,5.0,Directed
610,2948,3.0,Directed
615,1990,3.0,Directed
616,917,3.0,Directed
617,1419,3.0,Directed
618,632,3.0,Directed
620,142,3.0,Directed
620,1444,3.0,Directed
622,59,12.0,Directed
622,870,4.0,Directed
622,1027,4.0,Directed
622,1193,6.0,Directed
622,1217,18.0,Directed
622,2571,40.0,Directed
622,2586,39.0,Directed
622,3326,3.0,Directed
625,2463,2.0,Directed
626,3209,2.0,Directed
629,704,4.0,Directed
632,748,2.0,Directed
632,870,3.0,Directed
632,1419,7.0,Directed
632,2586,3.0,Directed
633,1726,3.0,Directed
634,2165,2.0,Directed
634,3609,6.0,Directed
636,267,6.0,Directed
636,1463,2.0,Directed
636,3131,3.0,Directed
636,3445,3.0,Directed
637,858,3.0,Directed
637,870,12.0,Directed
637,1895,2.0,Directed
639,318,3.0,Directed
642,138,3.0,Directed
645,767,3.0,Directed
645,1419,18.0,Directed
645,2586,8.0,Directed
647,1419,4.0,Directed
648,3205,6.0,Directed
649,3383,6.0,Directed
650,599,3.0,Directed
652,59,3.0,Directed
652,2433,9.0,Directed
652,2571,3.0,Directed
652,2586,7.0,Directed
652,3091,8.0,Directed
653,1419,24.0,Directed
653,2571,17.0,Directed
653,2586,3.0,Directed
657,748,4.0,Directed
657,870,3.0,Directed
660,2433,2.0,Directed
661,609,3.0,Directed
661,1573,3.0,Directed
663,1355,3.0,Directed
665,2919,3.0,Directed
667,1419,19.0,Directed
668,2666,2.0,Directed
669,2571,3.0,Directed
670,59,3.0,Directed
671,2482,3.0,Directed
671,2571,3.0,Directed
672,3021,3.0,Directed
674,2732,3.0,Directed
676,2421,3.0,Directed
678,1006,3.0,Directed
679,3151,2.0,Directed
680,1390,6.0,Directed
681,1714,6.0,Directed
682,3584,6.0,Directed
683,1419,6.0,Directed
684,748,9.0,Directed
684,870,11.0,Directed
684,1419,19.0,Directed
684,3507,3.0,Directed
685,870,12.0,Directed
685,2383,4.0,Directed
685,2394,3.0,Directed
685,2571,13.0,Directed
685,3028,6.0,Directed
686,1545,6.0,Directed
687,59,6.0,Directed
688,97,3.0,Directed
688,870,8.0,Directed
688,918,4.0,Directed
689,1419,12.0,Directed
689,1719,3.0,Directed
689,3093,3.0,Directed
691,3445,2.0,Directed
694,285,3.0,Directed
694,1184,3.0,Directed
694,1790,4.0,Directed
694,2571,9.0,Directed
697,748,12.0,Directed
697,1419,8.0,Directed
697,2503,3.0,Directed
697,2586,3.0,Directed
701,2281,21.0,Directed
701,3174,18.0,Directed
703,2386,3.0,Directed
704,629,21.0,Directed
704,870,12.0,Directed
704,1419,28.0,Directed
707,3242,3.0,Directed
708,2571,3.0,Directed
709,858,6.0,Directed
709,2047,3.0,Directed
709,2543,3.0,Directed
711,2041,21.0,Directed
713,1484,3.0,Directed
714,2775,3.0,Directed
718,3475,2.0,Directed
720,1619,6.0,Directed
721,3555,6.0,Directed
722,2008,6.0,Directed
724,1013,3.0,Directed
728,1419,13.0,Directed
729,870,4.0,Directed
729,1419,8.0,Directed
730,2502,3.0,Directed
733,1824,3.0,Directed
734,870,21.0,Directed
735,870,8.0,Directed
735,1419,8.0,Directed
735,2571,3.0,Directed
735,3470,6.0,Directed
737,500,6.0,Directed
737,870,38.0,Directed
737,1419,7.0,Directed
737,1905,3.0,Directed
737,2205,6.0,Directed
737,2571,3.0,Directed
738,1419,16.0,Directed
738,3317,20.0,Directed
739,3313,6.0,Directed
741,2394,3.0,Directed
743,870,3.0,Directed
743,2571,3.0,Directed
747,59,4.0,Directed
747,568,7.0,Directed
747,804,3.0,Directed
747,870,20.0,Directed
748,15,3.0,Directed
748,123,12.0,Directed
748,168,14.0,Directed
748,181,3.0,Directed
748,260,4.0,Directed
748,281,9.0,Directed
748,286,3.0,Directed
748,323,4.0,Directed
748,363,3.0,Directed
748,389,6.0,Directed
748,394,6.0,Directed
748,510,9.0,Directed
748,538,3.0,Directed
748,575,6.0,Directed
748,598,3.0,Directed
748,611,18.0,Directed
748,632,3.0,Directed
748,684,6.0,Directed
748,787,6.0,Directed
748,790,8.0,Directed
748,816,12.0,Directed
748,870,363.0,Directed
748,918,2.0,Directed
748,1006,12.0,Directed
748,1025,11.0,Directed
748,1037,3.0,Directed
748,1041,4.0,Directed
748,1087,9.0,Directed
748,1130,2.0,Directed
748,1135,3.0,Directed
748,1192,3.0,Directed
748,1283,3.0,Directed
748,1304,3.0,Directed
748,1327,2.0,Directed
748,1419,88.0,Directed
748,1426,6.0,Directed
748,1434,40.0,Directed
748,1502,8.0,Directed
748,1584,10.0,Directed
748,1614,9.0,Directed
748,1671,3.0,Directed
748,1676,3.0,Directed
748,1732,3.0,Directed
748,1737,3.0,Directed
748,1754,3.0,Directed
748,1789,4.0,Directed
748,1795,2.0,Directed
748,1905,32.0,Directed
748,1974,6.0,Directed
748,2001,15.0,Directed
748,2002,4.0,Directed
748,2041,9.0,Directed
748,2045,5.0,Directed
748,2101,3.0,Directed
748,2127,2.0,Directed
748,2203,3.0,Directed
748,2205,3.0,Directed
748,2266,10.0,Directed
748,2280,15.0,Directed
748,2356,2.0,Directed
748,2383,2.0,Directed
748,2392,3.0,Directed
748,2425,6.0,Directed
748,2440,4.0,Directed
748,2441,6.0,Directed
748,2482,28.0,Directed
748,2571,105.0,Directed
748,2586,111.0,Directed
748,2665,6.0,Directed
748,2719,4.0,Directed
748,2724,7.0,Directed
748,2739,6.0,Directed
748,2845,6.0,Directed
748,2896,12.0,Directed
748,2907,4.0,Directed
748,2966,3.0,Directed
748,3004,3.0,Directed
748,3046,3.0,Directed
748,3089,4.0,Directed
748,3091,4.0,Directed
748,3122,3.0,Directed
748,3205,6.0,Directed
748,3209,2.0,Directed
748,3285,4.0,Directed
748,3317,3.0,Directed
748,3329,4.0,Directed
748,3338,3.0,Directed
748,3351,3.0,Directed
748,3364,3.0,Directed
748,3383,12.0,Directed
748,3403,3.0,Directed
748,3440,3.0,Directed
748,3462,2.0,Directed
748,3481,3.0,Directed
748,3507,6.0,Directed
748,3553,12.0,Directed
748,3609,2.0,Directed
749,1419,4.0,Directed
752,1238,2.0,Directed
753,1652,4.0,Directed
755,870,8.0,Directed
755,2586,4.0,Directed
756,22,3.0,Directed
757,870,9.0,Directed
757,1021,10.0,Directed
757,1591,9.0,Directed
757,1925,3.0,Directed
757,2446,3.0,Directed
757,2571,3.0,Directed
758,477,3.0,Directed
758,1946,3.0,Directed
758,2620,2.0,Directed
759,3026,6.0,Directed
760,2571,2.0,Directed
761,870,4.0,Directed
761,2571,5.0,Directed
762,870,3.0,Directed
762,1419,7.0,Directed
762,2586,3.0,Directed
764,2468,3.0,Directed
765,2848,6.0,Directed
766,1193,6.0,Directed
766,2433,7.0,Directed
766,2586,22.0,Directed
767,645,2.0,Directed
768,2355,3.0,Directed
769,870,4.0,Directed
769,1419,8.0,Directed
770,2238,2.0,Directed
770,2894,3.0,Directed
770,3287,9.0,Directed
772,362,3.0,Directed
774,1105,3.0,Directed
775,1419,3.0,Directed
777,47,5.0,Directed
777,1338,3.0,Directed
777,2006,3.0,Directed
777,2425,3.0,Directed
777,2571,2.0,Directed
777,2586,5.0,Directed
777,3333,3.0,Directed
778,188,3.0,Directed
779,2571,3.0,Directed
779,2865,6.0,Directed
779,3456,6.0,Directed
780,1413,3.0,Directed
780,1942,2.0,Directed
783,41,21.0,Directed
783,3009,2.0,Directed
783,3361,6.0,Directed
784,289,3.0,Directed
784,870,8.0,Directed
784,1419,20.0,Directed
784,2586,8.0,Directed
784,3317,19.0,Directed
785,1079,2.0,Directed
785,1224,3.0,Directed
785,1369,3.0,Directed
788,875,4.0,Directed
788,2586,5.0,Directed
789,870,12.0,Directed
790,748,8.0,Directed
790,870,15.0,Directed
790,1107,9.0,Directed
790,1789,4.0,Directed
790,2586,7.0,Directed
790,2758,6.0,Directed
791,2642,3.0,Directed
794,870,34.0,Directed
794,1419,107.0,Directed
794,1421,2.0,Directed
796,2740,3.0,Directed
798,707,3.0,Directed
798,870,15.0,Directed
798,2571,3.0,Directed
798,3528,6.0,Directed
799,123,3.0,Directed
800,3026,3.0,Directed
801,3627,3.0,Directed
805,2712,9.0,Directed
806,107,3.0,Directed
807,1032,3.0,Directed
807,2586,3.0,Directed
808,631,3.0,Directed
810,3146,3.0,Directed
811,1419,15.0,Directed
813,2586,9.0,Directed
814,1419,12.0,Directed
814,2786,2.0,Directed
815,817,3.0,Directed
815,1419,4.0,Directed
815,2571,15.0,Directed
816,748,9.0,Directed
816,1419,3.0,Directed
816,2586,8.0,Directed
817,815,2.0,Directed
818,1419,12.0,Directed
818,3445,14.0,Directed
819,140,15.0,Directed
821,1419,12.0,Directed
822,1013,3.0,Directed
824,870,2.0,Directed
824,1782,2.0,Directed
825,905,3.0,Directed
825,1419,4.0,Directed
825,2165,3.0,Directed
825,2527,3.0,Directed
827,2571,12.0,Directed
828,2001,12.0,Directed
828,3313,3.0,Directed
828,3555,3.0,Directed
829,54,3.0,Directed
830,2662,6.0,Directed
831,1419,2.0,Directed
833,273,3.0,Directed
833,870,12.0,Directed
833,1419,16.0,Directed
833,1789,4.0,Directed
833,2586,8.0,Directed
834,1419,3.0,Directed
838,1419,3.0,Directed
840,434,3.0,Directed
842,2242,15.0,Directed
844,2986,5.0,Directed
847,870,4.0,Directed
849,469,3.0,Directed
849,2571,3.0,Directed
849,3317,42.0,Directed
850,1419,12.0,Directed
851,2556,3.0,Directed
854,2727,3.0,Directed
855,1505,3.0,Directed
855,2893,6.0,Directed
856,1177,3.0,Directed
857,2571,16.0,Directed
858,637,2.0,Directed
858,1419,15.0,Directed
859,870,11.0,Directed
859,2487,15.0,Directed
859,2571,23.0,Directed
859,2586,14.0,Directed
863,1958,3.0,Directed
865,664,3.0,Directed
865,1366,3.0,Directed
866,3524,3.0,Directed
867,870,4.0,Directed
867,2210,4.0,Directed
868,71,3.0,Directed
870,6,3.0,Directed
870,11,3.0,Directed
870,14,6.0,Directed
870,15,3.0,Directed
870,22,3.0,Directed
870,24,3.0,Directed
870,27,2.0,Directed
870,32,4.0,Directed
870,38,2.0,Directed
870,42,3.0,Directed
870,52,6.0,Directed
870,53,2.0,Directed
870,54,6.0,Directed
870,56,12.0,Directed
870,59,25.0,Directed
870,65,6.0,Directed
870,66,3.0,Directed
870,74,3.0,Directed
870,76,9.0,Directed
870,81,3.0,Directed
870,86,3.0,Directed
870,88,2.0,Directed
870,90,2.0,Directed
870,96,6.0,Directed
870,115,4.0,Directed
870,117,3.0,Directed
870,122,2.0,Directed
870,144,6.0,Directed
870,146,3.0,Directed
870,147,6.0,Directed
870,172,3.0,Directed
870,177,2.0,Directed
870,178,2.0,Directed
870,181,2.0,Directed
870,194,2.0,Directed
870,200,3.0,Directed
870,203,5.0,Directed
870,208,2.0,Directed
870,213,2.0,Directed
870,219,3.0,Directed
870,252,6.0,Directed
870,257,2.0,Directed
870,259,4.0,Directed
870,260,30.0,Directed
870,262,3.0,Directed
870,265,3.0,Directed
870,272,2.0,Directed
870,285,3.0,Directed
870,290,3.0,Directed
870,294,2.0,Directed
870,295,2.0,Directed
870,298,12.0,Directed
870,300,9.0,Directed
870,311,6.0,Directed
870,328,2.0,Directed
870,332,3.0,Directed
870,338,2.0,Directed
870,342,9.0,Directed
870,346,7.0,Directed
870,347,3.0,Directed
870,349,3.0,Directed
870,350,2.0,Directed
870,354,3.0,Directed
870,358,3.0,Directed
870,360,2.0,Directed
870,362,3.0,Directed
870,366,2.0,Directed
870,371,2.0,Directed
