id,number,author,mergedBy,comments,reviews
PR_kwDOCqswNs5dFmtt,5505,{'login': 'renovate'},{'login': 'davidkna'},[],[]
PR_kwDOCqswNs5dQGQt,5507,{'login': 'pstadler'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5rNS-q', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5rN7xH', 'author': {'login': 'pstadler'}}]","[{'id': 'PRR_kwDOCqswNs5lgTZE', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5dcnaZ,5510,{'login': 'Emily-RoseSteyn'},,"[{'id': 'IC_kwDOCqswNs5puqBg', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5puuBf', 'author': {'login': 'Emily-RoseSteyn'}}]",[]
PR_kwDOCqswNs5dfBVs,5513,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pwwoW', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dgyey,5514,{'login': 'florentinl'},,"[{'id': 'IC_kwDOCqswNs5qF8AY', 'author': {'login': 'jankatins'}}, {'id': 'IC_kwDOCqswNs5qJxXD', 'author': {'login': 'florentinl'}}, {'id': 'IC_kwDOCqswNs5w701e', 'author': {'login': 'florentinl'}}, {'id': 'IC_kwDOCqswNs6s7X9Q', 'author': {'login': 'carlfriedrich'}}, {'id': 'IC_kwDOCqswNs6tENnv', 'author': {'login': 'florentinl'}}]",[]
PR_kwDOCqswNs5djGvE,5515,{'login': 'renovate'},,[],[]
PR_kwDOCqswNs5dk8pI,5516,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5p3EkF', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dl9q8,5517,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5p4aPG', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dq8PZ,5518,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5p9ul2', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dss_h,5519,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5p_4B0', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dwwAn,5521,{'login': 'bestgopher'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5rd1v7', 'author': {'login': 'bestgopher'}}, {'id': 'IC_kwDOCqswNs5rsthi', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5l6uqe', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5l7rL1', 'state': 'COMMENTED', 'author': {'login': 'bestgopher'}}, {'id': 'PRR_kwDOCqswNs5mJW9S', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5d1lo5,5527,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5qIn4X', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5d3sxX,5529,{'login': 'vanilla-extracts'},,[],[]
PR_kwDOCqswNs5d5I6Z,5531,{'login': 'vanilla-extracts'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5qMByh', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qNBuV', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qNdir', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qU2lz', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qcMpK', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5qhadn', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qhiZK', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qhsbk', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qwrD9', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qw253', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qxA2F', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5qxJqK', 'author': {'login': 'vanilla-extracts'}}, {'id': 'IC_kwDOCqswNs5rstlF', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5rswu0', 'author': {'login': 'vanilla-extracts'}}]","[{'id': 'PRR_kwDOCqswNs5l5ymL', 'state': 'CHANGES_REQUESTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5l8vc1', 'state': 'COMMENTED', 'author': {'login': 'vanilla-extracts'}}, {'id': 'PRR_kwDOCqswNs5l-jwG', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5mKKYr', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
